"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/de/middletown/3463","MIDDLETOWN -AUTH HOMETOWN","600 NORTH BROAD SUITE 9","MIDDLETOWN","DE","19709","US","0003463","(302) 378-8020","<MISSING>","39.456821","-75.719376","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/md/chestertown/3123","CHESTERTOWN - AUTH HOMETOWN","19 WASHINGTON SQ","CHESTERTOWN","MD","21620","US","0003123","(410) 778-2335","<MISSING>","39.211292","-76.066238","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 8.30 AM - 6 PM sun 10 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/de/seaford/2157","SEAFORD - AUTH HOMETOWN","23392 SUSSEX HIGHWAY","SEAFORD","DE","19973","US","0002157","(302) 628-6966","<MISSING>","38.657222","-75.59514","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/pa/camp hill/1711","SEARS APPLIANCE & MATTRESS","3740 CAPITAL CITY MALL DRIVE","CAMP HILL","PA","17011","US","0001711","(717) 413-3051","<MISSING>","40.235233","-76.934606","mon 10 AM - 7 PM tue 10 AM - 7 PM wed 10 AM - 7 PM thu 10 AM - 7 PM fri 10 AM - 7 PM sat 9 AM - 6 PM sun 10 AM - 6 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ks/hays/3267","HAYS - AUTH HOMETOWN","2706 VINE ST","HAYS","KS","67601","US","0003267","(785) 625-5641","<MISSING>","38.885689","-99.317696","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 7 PM sun 11 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ks/great bend/3330","GREAT BEND - AUTH HOMETOWN","2515 10TH ST","GREAT BEND","KS","67530","US","0003330","(620) 793-7801","<MISSING>","38.361446","-98.772263","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ks/dodge city/3257","DODGE CITY - AUTH HOMETOWN","2601 CENTRAL AVE","DODGE CITY","KS","67801","US","0003257","(620) 227-2141","<MISSING>","37.778915","-100.0158","mon 10 AM - 9 PM tue 10 AM - 9 PM wed 10 AM - 9 PM thu 10 AM - 9 PM fri 10 AM - 9 PM sat 10 AM - 9 PM sun 12 AM - 6 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ks/colby/3781","COLBY - AUTH HOMETOWN","1937 S RANGE AVE STE 1","COLBY","KS","67701","US","0003781","(785) 460-7488","<MISSING>","39.370705","-101.05449","mon 8.30 AM - 6 PM tue 8.30 AM - 6 PM wed 8.30 AM - 6 PM thu 9 AM - 6 PM fri 8.30 AM - 6 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/sc/greenwood/3325","GREENWOOD - AUTH HOMETOWN","1344 SC 72 BUSINESS","GREENWOOD","SC","29649","US","0003325","(864) 223-4266","<MISSING>","34.243119","-82.137371","mon 9:30 AM - 7 PM tue 9:30 AM - 7 PM wed 9:30 AM - 7 PM thu 9:30 AM - 7 PM fri 9:30 AM - 7 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/nc/spruce pine/3958","SPRUCE PINE - AUTH HOMETOWN","11947 S HWY 226","SPRUCE PINE","NC","28777","US","0003958","(828) 765-5700","<MISSING>","35.892267","-82.067421","mon 8.30 AM - 6 PM tue 8.30 AM - 6 PM wed 8.30 AM - 6 PM thu 8.30 AM - 6 PM fri 8.30 AM - 6 PM sat 8.30 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/tx/athens/2014","220 CRESTWAY SUITE 100","BUDDYS IN ATHENS","ATHENS","TX","75751","US","0002014","(430) 502-6161","<MISSING>","35.5732","-80.8894","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/il/pekin/3258","PEKIN - HTS SERVICES","3247 COURT STREET SUITE A","PEKIN","IL","61554","US","0003258","(309) 347-0034","<MISSING>","33.984321","-81.260817","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 12 AM - 6 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/nd/minot/7136","MINOT - AUTH HOMETOWN","1425 24TH AVE SW","MINOT","ND","58701","US","0007136","(701) 707-0530","<MISSING>","48.207152","-101.315689","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 7 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ga/macon/6984","MACON - AUTH HOMETOWN","4551 BILLY WILLIAMSON DRIVE","MACON","GA","31206","US","0006984","(478) 254-4639","<MISSING>","32.822094","-83.715463","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 11 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ga/sandersville/3798","SANDERSVILLE-AUTH HOMETOWN","306 RIDDLEVILLE RD","SANDERSVILLE","GA","31082","US","0003798","(478) 552-1800","<MISSING>","32.971401","-82.806847","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ga/dublin/3395","DUBLIN - AUTH HOMETOWN","104 HILLCREST PKWY","DUBLIN","GA","31021","US","0003395","(478) 272-3600","<MISSING>","32.551128","-82.913525","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ga/fitzgerald/3255","FITZGERALD - AUTH HOMETOWN","215 S GRANT ST","FITZGERALD","GA","31750","US","0003255","(229) 423-2081","<MISSING>","31.713433","-83.252924","mon 8.30 AM - 6 PM tue 8.30 AM - 6 PM wed 8.30 AM - 6 PM thu 8.30 AM - 6 PM fri 8.30 AM - 6 PM sat 9 AM - 6 PM sun 9:30 AM - 5:30 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ga/carrollton/3515","CARROLLTON - AUTH HOMETOWN","1202 S PARK ST","CARROLLTON","GA","30117","US","0003515","(770) 832-9611","<MISSING>","33.556021","-85.072051","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/va/kilmarnock/5695","KILMARNOCK - AUTH HOMETOWN","412 NORTH MAIN STREET","KILMARNOCK","VA","22482","US","0005695","(804) 435-0920","<MISSING>","37.720959","-76.385644","mon 9:30 AM - 7 PM tue 9:30 AM - 7 PM wed 9:30 AM - 7 PM thu 9:30 AM - 7 PM fri 9:30 AM - 7 PM sat 9 AM - 7 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/oh/gallipolis/3462","GALLIPOLIS - AUTH HOMETOWN","2200 EASTERN AVE","GALLIPOLIS","OH","45631","US","0003462","(740) 446-1546","<MISSING>","38.823612","-82.172523","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/wv/ronceverte/3023","RONCEVERTE-AUTH HOMETOWN","8484 SENECA TRAIL S","RONCEVERTE","WV","24970","US","0003023","(304) 645-6662","<MISSING>","37.770157","-80.466576","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 11 AM - 4 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/wv/elkins/3114","ELKINS -  AUTH HOMETOWN","1611 HARRISON AVE","ELKINS","WV","26241","US","0003114","(304) 636-0893","<MISSING>","38.931355","-79.865273","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 7 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/ky/s williamson/3086","S WILLIAMSON -AUTH HOMETOWN","275 SOUTHSIDE MALL RD STE 10B","S WILLIAMSON","KY","41503","US","0003086","(606) 237-1022","<MISSING>","37.653179","-82.273544","mon 10 AM - 7 PM tue 10 AM - 7 PM wed 10 AM - 7 PM thu 10 AM - 7 PM fri 10 AM - 7 PM sat 10 AM - 7 PM sun 12 AM - 6 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/oh/logan/2172","LOGAN - AUTH HOMETOWN","150 HOCKING MALL","LOGAN","OH","43138","US","0002172","(740) 385-8881","<MISSING>","39.547949","-82.433091","mon 9 AM - 7 PM tue 9 AM - 7 PM wed 9 AM - 7 PM thu 9 AM - 7 PM fri 9 AM - 7 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
"https://www.searshometownstores.com/","https://www.searshometownstores.com/home/tx/canton/3639","CANTON - AUTH HOMETOWN","1190 S TRADE DAYS BLVD","CANTON","TX","75103","US","0003639","(903) 567-3500","<MISSING>","32.545574","-95.845621","mon 9 AM - 6 PM tue 9 AM - 6 PM wed 9 AM - 6 PM thu 9 AM - 6 PM fri 9 AM - 6 PM sat 9 AM - 6 PM sun 12 AM - 5 PM "
